hidden_size,seed_count,test_accuracy_mean,test_accuracy_std,best_epoch_mean,parameter_count,macs,training_seconds_mean,checkpoint_seed,device,batch_size,cpu_threads,warmup_iterations,measurement_iterations,median_latency_us,p95_latency_us,mean_latency_us,throughput_samples_per_second,accuracy_drop_pp,parameter_reduction_percent,macs_reduction_percent,latency_reduction_percent,latency_speedup
4,3,84.72,4.06180994139312,30.33333333333333,3190,3176,104.36851366666669,42,cpu,1,1,1000,10000,9.875,10.167,9.979,101265.823,13.163333333333327,98.43266348941188,98.4375,15.957446808510634,1.1898734177215189
8,3,92.62333333333332,0.0550757054728676,21.0,6370,6352,73.327211,42,cpu,1,1,1000,10000,9.916,10.083,9.965,100847.116,5.260000000000005,96.87024025942121,96.875,15.608510638297869,1.1849536103267446
16,3,95.15333333333332,0.2874601421646685,20.666666666666668,12730,12704,75.27128766666668,42,cpu,1,1,1000,10000,9.916,10.125,10.018,100847.116,2.730000000000004,93.7453937994399,93.75,15.608510638297869,1.1849536103267446
32,3,96.95,0.0754983443527105,14.666666666666666,25450,25408,58.73809366666666,42,cpu,1,1,1000,10000,10.166,10.417,10.249,98367.106,0.9333333333333229,87.49570087947723,87.5,13.48085106382978,1.1558134959669486
64,3,97.38333333333333,0.0901849950564593,10.333333333333334,50890,50816,43.44692466666667,42,cpu,1,1,1000,10000,10.333,10.542,10.478,96777.315,0.5,74.9963150395519,75.0,12.05957446808511,1.137133455917933
128,3,97.78666666666668,0.1159022576714228,9.333333333333334,101770,101632,41.101945666666666,42,cpu,1,1,1000,10000,10.917,11.209,11.089,91600.256,0.0966666666666498,49.99754335970127,50.0,7.089361702127661,1.0763030136484382
256,3,97.88333333333333,0.1850225211516989,7.666666666666667,203530,203264,38.54162333333333,42,cpu,1,1,1000,10000,11.75,11.958,11.859,85106.383,0.0,0.0,0.0,0.0,1.0
