hidden_size,seed_count,test_accuracy_mean,test_accuracy_std,best_epoch_mean,parameter_count,macs,training_seconds_mean
4,3,84.72,4.06180994139312,30.333333333333332,3190,3176,104.36851366666667
8,3,92.62333333333333,0.05507570547286769,21.0,6370,6352,73.327211
16,3,95.15333333333332,0.28746014216466853,20.666666666666668,12730,12704,75.27128766666668
32,3,96.95,0.07549834435271059,14.666666666666666,25450,25408,58.738093666666664
64,3,97.38333333333333,0.09018499505645938,10.333333333333334,50890,50816,43.44692466666667
128,3,97.78666666666668,0.11590225767142283,9.333333333333334,101770,101632,41.101945666666666
256,3,97.88333333333333,0.18502252115169898,7.666666666666667,203530,203264,38.541623333333334
